time_min,time_days,m_sodium_mEq,v_ecf_L,prc_pg_per_mL,agt_fmol_per_mL,angi_fmol_per_mL,angii_fmol_per_mL,ang17_fmol_per_mL,angiv_fmol_per_mL,at1_bound_fmol_per_mL,at2_bound_fmol_per_mL,n_aldo,n_adh,baro_integral_min,ra_integral_min,a_auto,a_baro,a_chemo,alpha_map,alpha_rap,at1_bound_pg_per_mL,autonomic_adh_stimulus,beta_rsna,c_adh_mU_per_L,c_aldo_ng_per_L,c_anp_hat,c_sodium_mEq_per_L,delta_ra,delta_rihp_mmHg,epsilon_aum,epsilon_aum_adh,eta_cd,eta_dt,eta_pt,gamma_at1_tubule,gamma_filtered_sodium,gamma_rihp_cd,gamma_rihp_dt,gamma_rihp_pt,gamma_rsna_tubule,gfr_L_per_min,gfr_mL_per_min,implied_p_gh_mmHg,lambda_aldo_cd,lambda_anp,lambda_dt,mu_adh,mu_aldo,n_adh_stimulus,n_aldo_stimulus,net_filtration_pressure_mmHg,p_b_cvp_mmHg,p_b_total_mmHg,p_gh_mmHg,p_gh_residual_mmHg,p_ma_mmHg,p_peritubular_mmHg,p_ra_mmHg,phi_cd_reab_mEq_per_min,phi_dt_reab_mEq_per_min,phi_dt_sodium_mEq_per_min,phi_filtered_sodium_mEq_per_min,phi_md_sodium_mEq_per_min,phi_pt_reab_mEq_per_min,phi_tubular_water_reab_L_per_min,phi_urine_L_per_min,phi_urine_sodium_mEq_per_min,phi_water_in_L_per_min,pra_fmol_per_mL_per_min,psi_aldo_dt,psi_at1_aa,psi_at1_ea,psi_at1_preglom,r_aa_equivalent_mmHg_min_per_L,r_aa_single_mmHg_min_per_L,r_ea_equivalent_mmHg_min_per_L,r_ea_single_mmHg_min_per_L,r_preglom_mmHg_min_per_L,r_renal_mmHg_min_per_L,raw_v_at1,raw_v_md,raw_v_rsna,renal_blood_flow_L_per_min,renin_secretion_pg_per_mL_per_min,rsna,sigma_myo,sigma_tgf,sngfr_nL_per_min,sodium_adh_stimulus,sodium_intake_mEq_per_min,v_at1,v_md,v_rsna,xi_at1,xi_k_sodium,xi_map
0.000000000000000000e+00,0.000000000000000000e+00,2.160000000000000000e+03,1.500000000000000000e+01,2.798828379324600135e+01,4.748301026345390128e+05,1.224056448165699962e+01,6.458821606363000178e+00,2.089440280323600163e+01,1.824796522373999919e+00,2.199073936750799874e+01,7.268125723159999829e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.300627171149952233e+01,0.000000000000000000e+00,1.075000000000000178e+00,4.000000000000000000e+00,8.500000000000000000e+01,1.021838151365224157e+00,1.440000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.851439886075846974e-01,4.549953138782084072e-01,6.056155915450194271e-01,1.005547895256870605e+00,8.815349184285560247e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.341725475626929343e-02,8.341725475626928699e+01,5.668082647296063925e+01,9.660438838411188334e-01,1.017716184863477480e+00,9.680715100162806674e-01,1.038674889394732848e+00,1.006123280684836585e+00,1.000000000000000000e+00,8.866105935543027172e-01,1.068082647327391754e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.668082647327391754e+01,3.132782921966281720e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.285347694322051648e+00,2.155485205374205737e+00,2.581893707392307835e+00,1.201208468490277781e+01,4.737378912766513572e+00,7.274705772136264237e+00,9.078120746768120197e-02,2.999999999999999737e-04,2.965460130702561869e-01,1.460575822931698027e-03,2.845475518980009966e+01,9.099906277564168144e-01,2.057303658594342721e+00,2.067924296161558484e+00,2.057303658594342721e+00,5.502395084504028233e+01,1.100479016900805682e+08,1.033962148080779286e+02,2.067924296161558628e+08,2.399816033477592114e+01,1.824183259878941499e+02,1.000000000736317451e+00,1.025541203976190729e+01,1.086616004830798232e+00,5.481905365507866446e-01,1.616666666666666696e+00,1.050000000000000044e+00,7.234022061061597952e-01,1.146420185494482435e+00,4.170862737813464349e+01,3.000000000000000000e+00,1.260000000000000009e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.058977586391052217e+00,8.502758077226175715e-01,9.846600667382185978e-01
3.000000000000000000e+01,2.083333333333333218e-02,2.154614087151647709e+03,1.503022465423470777e+01,2.804848568027928124e+01,4.748293743967751507e+05,1.226640343587184923e+01,6.472109528969250292e+00,2.090422192084211517e+01,1.828427181013480229e+00,2.201076954005521813e+01,7.274745864933604977e+00,9.458049039096663169e-01,8.248390539129986099e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.302722687741497154e+01,0.000000000000000000e+00,1.075000000000000178e+00,3.299356215651994439e+00,8.039341683232163405e+01,1.021838151365224157e+00,1.433520879905539971e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.811394440636780567e-01,4.474529670259284053e-01,6.056425138532355312e-01,1.005569129602321032e+00,8.815554906044308359e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.346076190724513455e-02,8.346076190724512855e+01,5.668639717089644137e+01,9.628196585043141686e-01,1.017716184863477480e+00,9.669189328799381311e-01,1.001104071843504473e+00,1.003034944229432401e+00,7.840293301846656959e-01,9.333459298960974371e-01,1.068639717122216837e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.668639717122216837e+01,3.257270009271451272e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.297155272365914769e+00,2.111173130149284649e+00,2.607028079201394011e+00,1.196427448468608112e+01,4.718201209350678660e+00,7.246073275335402464e+00,9.077314733209398967e-02,2.999999999999999737e-04,3.098728068354792420e-01,1.080194485417102813e-03,2.851596044161727050e+01,8.949059340518568106e-01,2.058463510425533549e+00,2.068978778835671051e+00,2.058463510425533549e+00,5.501737186551022774e+01,1.100347437310204506e+08,1.034489389417835525e+02,2.068978778835670948e+08,2.402709873134530838e+01,1.824934095386390993e+02,9.991354649940600297e-01,1.030284817740297676e+01,1.086616004830798232e+00,5.479649936554400469e-01,1.622740384669053126e+00,1.050000000000000044e+00,7.238664309351807713e-01,1.144902521954004992e+00,4.173038095362256428e+01,2.352087990553997088e+00,1.260000000000000009e-01,9.991354642583791801e-01,1.004625473599417784e+00,1.000000000000000000e+00,1.059332047882498351e+00,8.947963451046696548e-01,9.846600667382185978e-01
6.000000000000000000e+01,4.166666666666666435e-02,2.149134982501187096e+03,1.504498274751612819e+01,2.811085676508350417e+01,4.748265707279864000e+05,1.229388072974213664e+01,6.486747362552568674e+00,2.093523042510473431e+01,1.832611639699193162e+00,2.205939859439563477e+01,7.290818179503658847e+00,9.522905632260307840e-01,6.457918971973547473e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.307810162148483002e+01,0.000000000000000000e+00,1.075000000000000178e+00,2.583167588789418989e+00,8.094469787421262197e+01,1.021838151365224157e+00,1.428472879343116233e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.820359218317215255e-01,4.483712608778427366e-01,6.056846622727763974e-01,1.005620606457815258e+00,8.815717113992816989e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.349183588282863000e-02,8.349183588282862445e+01,5.669037591295786171e+01,9.632145274732903939e-01,1.017716184863477480e+00,9.675058924580063335e-01,9.428420700093307349e-01,1.003417988574903497e+00,6.157626447705411010e-01,9.706060951549935201e-01,1.069037591329431791e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669037591329431791e+01,3.364561962371226400e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.288193972121320474e+00,2.108615760773598691e+00,2.594218574873270899e+00,1.192658232051871181e+01,4.702834335646869590e+00,7.223747984871842220e+00,9.073075752209544542e-02,2.999999999999999737e-04,3.060246027519504253e-01,4.903059032973179285e-04,2.857937104450156340e+01,8.967425217556854733e-01,2.061279331907376999e+00,2.071538790605976121e+00,2.061279331907376999e+00,5.505846439205981113e+01,1.101169287841196209e+08,1.035769395302988016e+02,2.071538790605975986e+08,2.407098646977840062e+01,1.827063903921369956e+02,9.970429234515237882e-01,1.034060951144852858e+01,1.086616004830798232e+00,5.473262308196945591e-01,1.625276901812125807e+00,1.050000000000000044e+00,7.241979927745264556e-01,1.143668633215070063e+00,4.174591794141431222e+01,1.847287934311623303e+00,1.260000000000000009e-01,9.970429227173837061e-01,1.008307562032251470e+00,1.000000000000000000e+00,1.060191756914237837e+00,9.297630135220131820e-01,9.846600667382185978e-01
9.000000000000000000e+01,6.250000000000000000e-02,2.143844701118366629e+03,1.504177721162583303e+01,2.814445352471855344e+01,4.748224542426146800e+05,1.230871659943050389e+01,6.494676915360883207e+00,2.096794367072369880e+01,1.834888443012532955e+00,2.209647516066050699e+01,7.303072298862374190e+00,9.733723126342732623e-01,5.265575453684790963e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.311689038357981119e+01,0.000000000000000000e+00,1.075000000000000178e+00,2.106230181473916385e+00,8.273664657391323374e+01,1.021838151365224157e+00,1.425260240832035947e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.840044533841791008e-01,4.513262777559507999e-01,6.057153715680300143e-01,1.005659782453041773e+00,8.815820648395139569e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.351125084101666818e-02,8.351125084101666118e+01,5.669286182309013356e+01,9.644808179100484713e-01,1.017716184863477480e+00,9.683920791498645819e-01,8.859705165195604915e-01,1.004637252229428013e+00,5.086746944011982796e-01,9.945854921408155969e-01,1.069286182343363123e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669286182343363123e+01,3.434976747485052329e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.276237734758676634e+00,2.118066665228376166e+00,2.574916592382196612e+00,1.190252654858519854e+01,4.692983257610572778e+00,7.209543290974625762e+00,9.067315529481777270e-02,2.999999999999999737e-04,2.986788576235199777e-01,-8.552503683735817458e-05,2.861352775013052963e+01,9.026525555119015998e-01,2.063426164623774817e+00,2.073490588906398369e+00,2.063426164623774817e+00,5.509303814923095644e+01,1.101860762984619141e+08,1.036745294453199193e+02,2.073490588906398416e+08,2.410294927728374503e+01,1.828705168718346386e+02,9.954535271608530023e-01,1.036469966187030245e+01,1.086616004830798232e+00,5.468350049564594251e-01,1.626466345299535377e+00,1.050000000000000044e+00,7.244051519528024174e-01,1.142869229724396973e+00,4.175562542050833059e+01,1.526024083203594728e+00,1.260000000000000009e-01,9.954535264278832063e-01,1.010656580319217790e+00,1.000000000000000000e+00,1.060846423954652007e+00,9.521454094867785045e-01,9.846600667382185978e-01
1.200000000000000000e+02,8.333333333333332871e-02,2.138758143163211571e+03,1.502365167477622521e+01,2.816061880448994970e+01,4.748177566587302135e+05,1.231586967775144359e+01,6.498510494962890682e+00,2.099308878966415648e+01,1.835992859323905879e+00,2.211745860132263530e+01,7.310007503826972730e+00,9.918680251540750170e-01,4.618344138049925718e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.313884283953171561e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.847337655219970287e+00,8.430878213809637600e+01,1.021838151365224157e+00,1.423594069845251511e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.856254811667642057e-01,4.538821368240790743e-01,6.057324042449130364e-01,1.005681926592528974e+00,8.815874427429960525e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352122440203878229e-02,8.352122440203878284e+01,5.669413884754506938e+01,9.655707221211771163e-01,1.017716184863477480e+00,9.690727579745833653e-01,8.462981690097175491e-01,1.005675640222333911e+00,4.531356615083836914e-01,1.007103967236430808e+00,1.069413884789229030e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669413884789229030e+01,3.472209186838881578e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.267308378803558622e+00,2.127733336255616781e+00,2.560120984568444502e+00,1.189003197649569188e+01,4.687854320824061283e+00,7.202177655671630596e+00,9.062453665691376503e-02,2.999999999999999737e-04,2.928126057648858804e-01,-4.872215764872324384e-04,2.862996245123144945e+01,9.077642736481581487e-01,2.064641142183511135e+00,2.074595188579695826e+00,2.064641142183511135e+00,5.511337137089510918e+01,1.102267427417902201e+08,1.037297594289847922e+02,2.074595188579695821e+08,2.412068439788181351e+01,1.829638151977617042e+02,9.945563124678221678e-01,1.037720576744275647e+01,1.086616004830798232e+00,5.465561586148174333e-01,1.626961125590414170e+00,1.050000000000000044e+00,7.245115706576906733e-01,1.142450406086631620e+00,4.176061220101939142e+01,1.359406984525151074e+00,1.260000000000000009e-01,9.945563117355129545e-01,1.011876044298233523e+00,1.000000000000000000e+00,1.061216623419180660e+00,9.637933759182129023e-01,9.846600667382185978e-01
1.500000000000000000e+02,1.041666666666666713e-01,2.133812640182435644e+03,1.499652671312692043e+01,2.816707145473732155e+01,4.748128974739093101e+05,1.231873341014711976e+01,6.500051368354220926e+00,2.100955788830698978e+01,1.836439003796406899e+00,2.212747404038067600e+01,7.313317691312257729e+00,1.003757832112176285e+00,4.326326654437623320e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.314932079156545797e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.730530661775049328e+00,8.531941572953498110e+01,1.021838151365224157e+00,1.422871229452512978e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.866312448621661568e-01,4.555075794733258743e-01,6.057403726802927935e-01,1.005692489046626559e+00,8.815897809212369651e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352547695986055343e-02,8.352547695986055487e+01,5.669468334918514785e+01,9.662613139184027533e-01,1.017716184863477480e+00,9.694799011583575821e-01,8.258847497570656060e-01,1.006328345173874483e+00,4.290409817504325929e-01,1.012561683202586327e+00,1.069468334953400301e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669468334953400301e+01,3.488551669761363883e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.262047601303824429e+00,2.134334464157002564e+00,2.551283427481148003e+00,1.188459980924843329e+01,4.685617891638150567e+00,7.198981917610282721e+00,9.059685235106938739e-02,2.999999999999999737e-04,2.892358261773235739e-01,-6.939172238993700226e-04,2.863652264564960959e+01,9.110151589466517486e-01,2.065221048375891044e+00,2.075122411593216309e+00,2.065221048375891044e+00,5.512346373858773774e+01,1.102469274771754742e+08,1.037561205796608164e+02,2.075122411593216360e+08,2.412897036512825011e+01,1.830085546833768149e+02,9.941286550086668727e-01,1.038265113426048636e+01,1.086616004830798232e+00,5.464225438696570514e-01,1.627114904649115124e+00,1.050000000000000044e+00,7.245569457945002512e-01,1.142267218709287713e+00,4.176273847993027744e+01,1.287122945251297779e+00,1.260000000000000009e-01,9.941286542766726297e-01,1.012407019240694872e+00,1.000000000000000000e+00,1.061393241833489487e+00,9.688551356670451753e-01,9.846600667382185978e-01
1.800000000000000000e+02,1.250000000000000000e-01,2.128946947032874959e+03,1.496521994959099011e+01,2.816923790520478121e+01,4.748080851774363546e+05,1.231969675945345521e+01,6.500571077158633138e+00,2.101922252886070552e+01,1.836589989690861291e+00,2.213152826462494716e+01,7.314657646782821487e+00,1.010194922775032422e+00,4.212000583138993393e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315356223988533202e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.684800233255597357e+00,8.586656843587775256e+01,1.021838151365224157e+00,1.422596496546020148e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.871637635458584636e-01,4.563819694822769391e-01,6.057435587843310598e-01,1.005696763418213457e+00,8.815906710351979481e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352707115829938189e-02,8.352707115829937834e+01,5.669488747190391109e+01,9.666319954548423521e-01,1.017716184863477480e+00,9.696901825540986675e-01,8.174217604559832484e-01,1.006677021864682109e+00,4.198832182006715930e-01,1.014642051595135985e+00,1.069488747225344127e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669488747225344127e+01,3.495301825751084834e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.259359985922734904e+00,2.138042154725082966e+00,2.546722576779305136e+00,1.188253187965468172e+01,4.684764731504388102e+00,7.197767148150293615e+00,9.058488802175103383e-02,2.999999999999999737e-04,2.873625908565702325e-01,-7.796095025863463562e-04,2.863872520362486185e+01,9.127639389645538781e-01,2.065455791995595813e+00,2.075335829271690802e+00,2.065455791995595813e+00,5.512764639765336483e+01,1.102552927953067273e+08,1.037667914635845392e+02,2.075335829271690845e+08,2.413227952136188748e+01,1.830267173825997986e+02,9.939556476609213709e-01,1.038472719841538350e+01,1.086616004830798232e+00,5.463683195003689042e-01,1.627157032573453010e+00,1.050000000000000044e+00,7.245739560211202912e-01,1.142197245578362885e+00,4.176353557914968917e+01,1.259649654602014834e+00,1.260000000000000009e-01,9.939556469290544705e-01,1.012609455198104191e+00,1.000000000000000000e+00,1.061464722096379099e+00,9.707803284764455753e-01,9.846600667382185978e-01
2.100000000000000000e+02,1.458333333333333426e-01,2.124121111284692233e+03,1.493228732053166929e+01,2.816989803434177375e+01,4.748033986861012527e+05,1.231999062790278110e+01,6.500729853564586769e+00,2.102451317148603138e+01,1.836636206030118679e+00,2.213297103157792023e+01,7.315134493487617462e+00,1.013309237624998582e+00,4.171768371503973838e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315507163381619193e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.668707348601589535e+00,8.613128519812488548e+01,1.021838151365224157e+00,1.422502169754032195e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.874177268149028297e-01,4.568036067835520297e-01,6.057446850540503247e-01,1.005698284350157401e+00,8.815909769476362179e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352761376390833992e-02,8.352761376390833448e+01,5.669495694765389970e+01,9.668105378165925412e-01,1.017716184863477480e+00,9.697886447739337834e-01,8.143778968426476084e-01,1.006844550753386525e+00,4.167389918010731553e-01,1.015357421628634960e+00,1.069495694800362884e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669495694800362884e+01,3.497291345411213115e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.258112351227361980e+00,2.139883318100721521e+00,2.544587833885313177e+00,1.188182118135363829e+01,4.684471151986034698e+00,7.197350029367603597e+00,9.058054898162246071e-02,2.999999999999999737e-04,2.864754826579511970e-01,-8.104303068324466078e-04,2.863939633491413517e+01,9.136072135671040595e-01,2.065539329509050059e+00,2.075411777584631690e+00,2.065539329509050059e+00,5.512915380670228416e+01,1.102583076134045720e+08,1.037705888792315818e+02,2.075411777584631741e+08,2.413344838790773750e+01,1.830331910738416354e+02,9.938940948643553153e-01,1.038544142946708959e+01,1.086616004830798232e+00,5.463489950282115482e-01,1.627168171601474533e+00,1.050000000000000044e+00,7.245797456669691439e-01,1.142173155708763321e+00,4.176380688195416724e+01,1.250216975403219521e+00,1.260000000000000009e-01,9.938940941325337119e-01,1.012679099503855928e+00,1.000000000000000000e+00,1.061490157599652928e+00,9.714414956380839072e-01,9.846600667382185978e-01
2.400000000000000000e+02,1.666666666666666574e-01,2.119313524239461458e+03,1.489879688895338461e+01,2.817008019846866773e+01,4.747988606173421140e+05,1.232007189058712449e+01,6.500773880123250414e+00,2.102729297562014210e+01,1.836649064701853185e+00,2.213343763077999782e+01,7.315288708478133728e+00,1.014699292720817381e+00,4.158946187495299318e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315555978056941910e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.663578474998119727e+00,8.624943988126948113e+01,1.021838151365224157e+00,1.422472928542849502e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.875299738011616091e-01,4.569915092089411046e-01,6.057450465472467016e-01,1.005698776208343581e+00,8.815910718980553007e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352778006304352465e-02,8.352778006304352232e+01,5.669497824075691739e+01,9.668900626534759901e-01,1.017716184863477480e+00,9.698315372985395477e-01,8.134005119294509534e-01,1.006919083426714989e+00,4.157642847616500603e-01,1.015579536999712040e+00,1.069497824110672468e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669497824110672468e+01,3.498072942420549225e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257572765565794004e+00,2.140721834899261378e+00,2.543658053481775649e+00,1.188160059209605635e+01,4.684379888381037027e+00,7.197220703715019319e+00,9.057916944027288864e-02,2.999999999999999737e-04,2.860852879159816453e-01,-8.203268770324637083e-04,2.863958153510981219e+01,9.139830184178822092e-01,2.065566346010970555e+00,2.075436339696259402e+00,2.065566346010970555e+00,5.512964836373890165e+01,1.102592967274778038e+08,1.037718169848129719e+02,2.075436339696259499e+08,2.413382314585911814e+01,1.830352884944109917e+02,9.938741900072077806e-01,1.038566344223396065e+01,1.086616004830798232e+00,5.463427343577712536e-01,1.627170367851576538e+00,1.050000000000000044e+00,7.245815200922269828e-01,1.142165665807451269e+00,4.176389003152176116e+01,1.247292854284950181e+00,1.260000000000000009e-01,9.938741892754008322e-01,1.012700747855575845e+00,1.000000000000000000e+00,1.061498383363804088e+00,9.716464746016342247e-01,9.846600667382185978e-01
2.700000000000000000e+02,1.875000000000000000e-01,2.114513754638129740e+03,1.486513616664145054e+01,2.817011917918495101e+01,4.747944742689900449e+05,1.232008938720881197e+01,6.500783436276590166e+00,2.102871696743439145e+01,1.836651883538145347e+00,2.213357278755982449e+01,7.315333378939263831e+00,1.015281832214508739e+00,4.155360162710488026e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315570117888934121e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.662144065084195210e+00,8.629895573823324639e+01,1.021838151365224157e+00,1.422465109591977352e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.875766638953968002e-01,4.570702011316449820e-01,6.057451498486405850e-01,1.005698918679902132e+00,8.815910973512148807e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782348828240166e-02,8.352782348828240799e+01,5.669498380096672463e+01,9.669233592011717837e-01,1.017716184863477480e+00,9.698491585637033507e-01,8.131265294252800757e-01,1.006950273940977469e+00,4.155036530659117489e-01,1.015639106816242032e+00,1.069498380131656745e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498380131656745e+01,3.498428213788429275e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257352522137209938e+00,2.141079240887508117e+00,2.543276106685973925e+00,1.188154145922389660e+01,4.684355347573482042e+00,7.197186111650414553e+00,9.057879325444603835e-02,2.999999999999999737e-04,2.859235845487639871e-01,-8.231011040837725445e-04,2.863962116550469972e+01,9.141404022632899640e-01,2.065574171705413686e+00,2.075443454443413049e+00,2.065574171705413686e+00,5.512979526648495465e+01,1.102595905329699069e+08,1.037721727221706516e+02,2.075443454443413019e+08,2.413393001331400001e+01,1.830358980019695991e+02,9.938684244485233021e-01,1.038572314017533849e+01,1.086616004830798232e+00,5.463409150423810257e-01,1.627170281582408728e+00,1.050000000000000044e+00,7.245819834430474726e-01,1.142163651673627545e+00,4.176391174414119689e+01,1.246510959197735247e+00,1.260000000000000009e-01,9.938684237167206836e-01,1.012706568971406984e+00,1.000000000000000000e+00,1.061500766047269728e+00,9.717012863600196226e-01,9.846600667382185978e-01
