time_min,time_days,m_sodium_mEq,v_ecf_L,prc_pg_per_mL,agt_fmol_per_mL,angi_fmol_per_mL,angii_fmol_per_mL,ang17_fmol_per_mL,angiv_fmol_per_mL,at1_bound_fmol_per_mL,at2_bound_fmol_per_mL,n_aldo,n_adh,baro_integral_min,ra_integral_min,a_auto,a_baro,a_chemo,alpha_map,alpha_rap,at1_bound_pg_per_mL,autonomic_adh_stimulus,beta_rsna,c_adh_mU_per_L,c_aldo_ng_per_L,c_anp_hat,c_sodium_mEq_per_L,delta_ra,delta_rihp_mmHg,epsilon_aum,epsilon_aum_adh,eta_cd,eta_dt,eta_pt,gamma_at1_tubule,gamma_filtered_sodium,gamma_rihp_cd,gamma_rihp_dt,gamma_rihp_pt,gamma_rsna_tubule,gfr_L_per_min,gfr_mL_per_min,implied_p_gh_mmHg,lambda_aldo_cd,lambda_anp,lambda_dt,mu_adh,mu_aldo,n_adh_stimulus,n_aldo_stimulus,net_filtration_pressure_mmHg,p_b_cvp_mmHg,p_b_total_mmHg,p_gh_mmHg,p_gh_residual_mmHg,p_ma_mmHg,p_peritubular_mmHg,p_ra_mmHg,phi_cd_reab_mEq_per_min,phi_dt_reab_mEq_per_min,phi_dt_sodium_mEq_per_min,phi_filtered_sodium_mEq_per_min,phi_md_sodium_mEq_per_min,phi_pt_reab_mEq_per_min,phi_tubular_water_reab_L_per_min,phi_urine_L_per_min,phi_urine_sodium_mEq_per_min,phi_water_in_L_per_min,pra_fmol_per_mL_per_min,psi_aldo_dt,psi_at1_aa,psi_at1_ea,psi_at1_preglom,r_aa_equivalent_mmHg_min_per_L,r_aa_single_mmHg_min_per_L,r_ea_equivalent_mmHg_min_per_L,r_ea_single_mmHg_min_per_L,r_preglom_mmHg_min_per_L,r_renal_mmHg_min_per_L,raw_v_at1,raw_v_md,raw_v_rsna,renal_blood_flow_L_per_min,renin_secretion_pg_per_mL_per_min,rsna,sigma_myo,sigma_tgf,sngfr_nL_per_min,sodium_adh_stimulus,sodium_intake_mEq_per_min,v_at1,v_md,v_rsna,xi_at1,xi_k_sodium,xi_map
0.000000000000000000e+00,0.000000000000000000e+00,2.160000000000000000e+03,1.500000000000000000e+01,2.798828379324600135e+01,4.748301026345390128e+05,1.224056448165699962e+01,6.458821606363000178e+00,2.089440280323600163e+01,1.824796522373999919e+00,2.199073936750799874e+01,7.268125723159999829e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.300627171149952233e+01,0.000000000000000000e+00,1.075000000000000178e+00,4.000000000000000000e+00,8.500000000000000000e+01,1.021838151365224157e+00,1.440000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.851439886075846974e-01,4.549953138782084072e-01,6.056155915450194271e-01,1.005547895256870605e+00,8.815349184285560247e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.341725475626929343e-02,8.341725475626928699e+01,5.668082647296063925e+01,9.660438838411188334e-01,1.017716184863477480e+00,9.680715100162806674e-01,1.038674889394732848e+00,1.006123280684836363e+00,1.000000000000000000e+00,8.866105935543027172e-01,1.068082647327391754e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.668082647327391754e+01,3.132782921966281720e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.285347694322051648e+00,2.155485205374205737e+00,2.581893707392307835e+00,1.201208468490277781e+01,4.737378912766513572e+00,7.274705772136264237e+00,9.078120746768120197e-02,2.999999999999999737e-04,2.965460130702561869e-01,1.460575822931698027e-03,2.845475518980009966e+01,9.099906277564168144e-01,2.057303658594342721e+00,2.067924296161558484e+00,2.057303658594342721e+00,5.502395084504028233e+01,1.100479016900805682e+08,1.033962148080779286e+02,2.067924296161558628e+08,2.399816033477592114e+01,1.824183259878941499e+02,1.000000000736317451e+00,1.025541203976190729e+01,1.086616004830798232e+00,5.481905365507866446e-01,1.616666666666666696e+00,1.050000000000000044e+00,7.234022061061597952e-01,1.146420185494482435e+00,4.170862737813464349e+01,3.000000000000000000e+00,1.260000000000000009e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.058977586391052217e+00,8.502758077226175715e-01,9.846600667382185978e-01
3.000000000000000000e+01,2.083333333333333218e-02,2.154614087151648619e+03,1.503022465423470599e+01,2.804848568027928835e+01,4.748293743967752671e+05,1.226640343587185455e+01,6.472109528969250292e+00,2.090422192084211872e+01,1.828427181013480007e+00,2.201076954005521813e+01,7.274745864933605866e+00,9.458049039096654287e-01,8.248390539130023846e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.302722687741497154e+01,0.000000000000000000e+00,1.075000000000000178e+00,3.299356215652009539e+00,8.039341683232156299e+01,1.021838151365224157e+00,1.433520879905540539e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.811394440636780567e-01,4.474529670259282388e-01,6.056425138532355312e-01,1.005569129602321032e+00,8.815554906044308359e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.346076190724513455e-02,8.346076190724512855e+01,5.668639717089644137e+01,9.628196585043140576e-01,1.017716184863477480e+00,9.669189328799381311e-01,1.001104071843505583e+00,1.003034944229432401e+00,7.840293301846846807e-01,9.333459298960937733e-01,1.068639717122216837e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.668639717122216837e+01,3.257270009271451272e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.297155272365916545e+00,2.111173130149285093e+00,2.607028079201396231e+00,1.196427448468608645e+01,4.718201209350681324e+00,7.246073275335405128e+00,9.077314733209398967e-02,2.999999999999999737e-04,3.098728068354796861e-01,1.080194485417113222e-03,2.851596044161727761e+01,8.949059340518564776e-01,2.058463510425533549e+00,2.068978778835671051e+00,2.058463510425533549e+00,5.501737186551022774e+01,1.100347437310204506e+08,1.034489389417835525e+02,2.068978778835670948e+08,2.402709873134530838e+01,1.824934095386390993e+02,9.991354649940600297e-01,1.030284817740297143e+01,1.086616004830798232e+00,5.479649936554400469e-01,1.622740384669052016e+00,1.050000000000000044e+00,7.238664309351807713e-01,1.144902521954004992e+00,4.173038095362256428e+01,2.352087990554053931e+00,1.260000000000000009e-01,9.991354642583791801e-01,1.004625473599417118e+00,1.000000000000000000e+00,1.059332047882498351e+00,8.947963451046661021e-01,9.846600667382185978e-01
6.000000000000000000e+01,4.166666666666666435e-02,2.149134982501187551e+03,1.504498274751612819e+01,2.811085676508349351e+01,4.748265707279864582e+05,1.229388072974213308e+01,6.486747362552565122e+00,2.093523042510473076e+01,1.832611639699191830e+00,2.205939859439562767e+01,7.290818179503657070e+00,9.522905632260287856e-01,6.457918971973679589e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.307810162148481936e+01,0.000000000000000000e+00,1.075000000000000178e+00,2.583167588789471836e+00,8.094469787421245144e+01,1.021838151365224157e+00,1.428472879343116517e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.820359218317213035e-01,4.483712608778424036e-01,6.056846622727763974e-01,1.005620606457815258e+00,8.815717113992816989e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.349183588282863000e-02,8.349183588282862445e+01,5.669037591295786882e+01,9.632145274732901719e-01,1.017716184863477480e+00,9.675058924580062225e-01,9.428420700093360640e-01,1.003417988574903497e+00,6.157626447705505379e-01,9.706060951549915217e-01,1.069037591329431791e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669037591329431791e+01,3.364490908097650390e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.288193972121321806e+00,2.108615760773598247e+00,2.594218574873273120e+00,1.192658232051871536e+01,4.702834335646871367e+00,7.223747984871843997e+00,9.073075752209544542e-02,2.999999999999999737e-04,3.060246027519513135e-01,4.903059032973717049e-04,2.857937104450155275e+01,8.967425217556848072e-01,2.061279331907376555e+00,2.071538790605976121e+00,2.061279331907376555e+00,5.505846439205980403e+01,1.101169287841196060e+08,1.035769395302988016e+02,2.071538790605975986e+08,2.407098646977839707e+01,1.827063903921369956e+02,9.970429234515241212e-01,1.034060951144852503e+01,1.086616004830798232e+00,5.473262308196945591e-01,1.625276901812125807e+00,1.050000000000000044e+00,7.241979927745264556e-01,1.143668633215070063e+00,4.174591794141431222e+01,1.847287934311651725e+00,1.260000000000000009e-01,9.970429227173840392e-01,1.008307562032251248e+00,1.000000000000000000e+00,1.060191756914237615e+00,9.297630135220114056e-01,9.846600667382185978e-01
9.000000000000000000e+01,6.250000000000000000e-02,2.143844701118367539e+03,1.504177721162585613e+01,2.814445352471843975e+01,4.748224542426148546e+05,1.230871659943044882e+01,6.494676915360851233e+00,2.096794367072366327e+01,1.834888443012523185e+00,2.209647516066032580e+01,7.303072298862314682e+00,9.733723126342489484e-01,5.265575453684343543e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.311689038357962289e+01,0.000000000000000000e+00,1.075000000000000178e+00,2.106230181473737417e+00,8.273664657391115895e+01,1.021838151365224157e+00,1.425260240832034526e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.840044533841771024e-01,4.513262777559474137e-01,6.057153715680299033e-01,1.005659782453041551e+00,8.815820648395139569e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.351125084101666818e-02,8.351125084101666118e+01,5.669286182309015487e+01,9.644808179100469170e-01,1.017716184863477480e+00,9.683920791498639158e-01,8.859705165195355114e-01,1.004637252229426458e+00,5.086746944011508731e-01,9.945854921408239235e-01,1.069286182343363123e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669286182343363123e+01,3.434763584664324299e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.276237734758683739e+00,2.118066665228358847e+00,2.574916592382210379e+00,1.190252654858518611e+01,4.692983257610569225e+00,7.209543290974616880e+00,9.067315529481773106e-02,2.999999999999999737e-04,2.986788576235266390e-01,-8.552503683761057685e-05,2.861352775013041239e+01,9.026525555118948274e-01,2.063426164623764603e+00,2.073490588906389487e+00,2.063426164623764603e+00,5.509303814923066511e+01,1.101860762984613329e+08,1.036745294453194788e+02,2.073490588906389475e+08,2.410294927728362779e+01,1.828705168718337859e+02,9.954535271608606628e-01,1.036469966187031133e+01,1.086616004830798232e+00,5.468350049564619786e-01,1.626466345299549365e+00,1.050000000000000044e+00,7.244051519528024174e-01,1.142869229724396529e+00,4.175562542050833059e+01,1.526024083203452619e+00,1.260000000000000009e-01,9.954535264278908668e-01,1.010656580319218678e+00,1.000000000000000000e+00,1.060846423954648898e+00,9.521454094867891627e-01,9.846600667382185978e-01
1.200000000000000000e+02,8.333333333333332871e-02,2.138758143163213390e+03,1.502365167477625718e+01,2.816061880449023036e+01,4.748177566587302717e+05,1.231586967775156438e+01,6.498510494962959072e+00,2.099308878966413161e+01,1.835992859323925863e+00,2.211745860132263530e+01,7.310007503826972730e+00,9.918680251540417103e-01,4.618344138049263470e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.313884283953171561e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.847337655219705388e+00,8.430878213809354804e+01,1.021838151365224157e+00,1.423594069845249805e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.856254811667614302e-01,4.538821368240744669e-01,6.057324042449130364e-01,1.005681926592528974e+00,8.815874427429960525e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352122440203878229e-02,8.352122440203878284e+01,5.669413884754507649e+01,9.655707221211751179e-01,1.017716184863477480e+00,9.690727579745824771e-01,8.462981690096732512e-01,1.005675640222332134e+00,4.531356615083268480e-01,1.007103967236443687e+00,1.069413884789229030e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669413884789229030e+01,3.472138132565305568e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.267308378803567948e+00,2.127733336255592356e+00,2.560120984568462710e+00,1.189003197649567767e+01,4.687854320824055065e+00,7.202177655671622603e+00,9.062453665691369564e-02,2.999999999999999737e-04,2.928126057648947622e-01,-4.872215764876817318e-04,2.862996245123173367e+01,9.077642736481489338e-01,2.064641142183511135e+00,2.074595188579695826e+00,2.064641142183511135e+00,5.511337137089508786e+01,1.102267427417901754e+08,1.037297594289847922e+02,2.074595188579695821e+08,2.412068439788181351e+01,1.829638151977616758e+02,9.945563124678221678e-01,1.037720576744277068e+01,1.086616004830798232e+00,5.465561586148175444e-01,1.626961125590416390e+00,1.050000000000000044e+00,7.245115706576906733e-01,1.142450406086631176e+00,4.176061220101939142e+01,1.359406984524980544e+00,1.260000000000000009e-01,9.945563117355129545e-01,1.011876044298234856e+00,1.000000000000000000e+00,1.061216623419180660e+00,9.637933759182253368e-01,9.846600667382185978e-01
1.500000000000000000e+02,1.041666666666666713e-01,2.133812640182438372e+03,1.499652671312689023e+01,2.816707145473728602e+01,4.748128974739093683e+05,1.231873341014710199e+01,6.500051368354211156e+00,2.100955788830700399e+01,1.836439003796404679e+00,2.212747404038072219e+01,7.313317691312271940e+00,1.003757832112097681e+00,4.326326654439552333e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.314932079156550415e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.730530661775820933e+00,8.531941572952830199e+01,1.021838151365224157e+00,1.422871229452517809e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.866312448621596065e-01,4.555075794733151606e-01,6.057403726802930155e-01,1.005692489046626781e+00,8.815897809212369651e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352547695986055343e-02,8.352547695986055487e+01,5.669468334918512653e+01,9.662613139183983124e-01,1.017716184863477480e+00,9.694799011583549175e-01,8.258847497572061602e-01,1.006328345173870265e+00,4.290409817505936307e-01,1.012561683202551910e+00,1.069468334953400301e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669468334953400301e+01,3.488764832582091913e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.262047601303858624e+00,2.134334464156958155e+00,2.551283427481205734e+00,1.188459980924847414e+01,4.685617891638163890e+00,7.198981917610310255e+00,9.059685235106959555e-02,2.999999999999999737e-04,2.892358261773471106e-01,-6.939172238979475493e-04,2.863652264564957406e+01,9.110151589466303212e-01,2.065221048375893265e+00,2.075122411593218086e+00,2.065221048375893265e+00,5.512346373858784432e+01,1.102469274771756828e+08,1.037561205796609016e+02,2.075122411593218148e+08,2.412897036512827498e+01,1.830085546833770422e+02,9.941286550086650964e-01,1.038265113426045261e+01,1.086616004830798232e+00,5.464225438696563852e-01,1.627114904649106908e+00,1.050000000000000044e+00,7.245569457945002512e-01,1.142267218709288823e+00,4.176273847993027744e+01,1.287122945251780948e+00,1.260000000000000009e-01,9.941286542766708534e-01,1.012407019240691541e+00,1.000000000000000000e+00,1.061393241833490375e+00,9.688551356670114245e-01,9.846600667382185978e-01
1.800000000000000000e+02,1.250000000000000000e-01,2.128946947032877688e+03,1.496521994959081603e+01,2.816923790520448989e+01,4.748080851774362964e+05,1.231969675945333087e+01,6.500571077158567412e+00,2.101922252886082276e+01,1.836589989690842195e+00,2.213152826462486544e+01,7.314657646782793954e+00,1.010194922775135229e+00,4.212000583144951404e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315356223988524320e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.684800233257980562e+00,8.586656843588649224e+01,1.021838151365224157e+00,1.422596496546038338e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.871637635458653470e-01,4.563819694822908724e-01,6.057435587843309488e-01,1.005696763418213457e+00,8.815906710351978370e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352707115829927087e-02,8.352707115829926465e+01,5.669488747190388978e+01,9.666319954548483473e-01,1.017716184863477480e+00,9.696901825541002218e-01,8.174217604564315565e-01,1.006677021864687660e+00,4.198832182012779413e-01,1.014642051595000982e+00,1.069488747225342706e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669488747225342706e+01,3.495372880024660844e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.259359985922720693e+00,2.138042154725173560e+00,2.546722576779269609e+00,1.188253187965481850e+01,4.684764731504443169e+00,7.197767148150375327e+00,9.058488802175169996e-02,2.999999999999999737e-04,2.873625908565489162e-01,-7.796095025818083196e-04,2.863872520362456697e+01,9.127639389645817447e-01,2.065455791995590484e+00,2.075335829271686361e+00,2.065455791995590484e+00,5.512764639765335062e+01,1.102552927953066975e+08,1.037667914635843118e+02,2.075335829271686375e+08,2.413227952136178800e+01,1.830267173825994576e+02,9.939556476609250346e-01,1.038472719841524849e+01,1.086616004830798232e+00,5.463683195003699034e-01,1.627157032573438133e+00,1.050000000000000044e+00,7.245739560211191810e-01,1.142197245578367548e+00,4.176353557914963233e+01,1.259649654603833824e+00,1.260000000000000009e-01,9.939556469290581342e-01,1.012609455198091091e+00,1.000000000000000000e+00,1.061464722096377766e+00,9.707803284763176777e-01,9.846600667382185978e-01
2.100000000000000000e+02,1.458333333333333426e-01,2.124121111284694962e+03,1.493228732053159646e+01,2.816989803434167783e+01,4.748033986861012527e+05,1.231999062790272781e+01,6.500729853564561012e+00,2.102451317148602072e+01,1.836636206030111129e+00,2.213297103157779944e+01,7.315134493487577494e+00,1.013309237624982817e+00,4.171768371507276751e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315507163381606404e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.668707348602910701e+00,8.613128519812353545e+01,1.021838151365224157e+00,1.422502169754041006e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.874177268149007203e-01,4.568036067835498648e-01,6.057446850540503247e-01,1.005698284350157401e+00,8.815909769476362179e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352761376390828441e-02,8.352761376390827763e+01,5.669495694765388549e+01,9.668105378165915420e-01,1.017716184863477480e+00,9.697886447739325622e-01,8.143778968428989629e-01,1.006844550753385858e+00,4.167389918013668648e-01,1.015357421628569901e+00,1.069495694800362173e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669495694800362173e+01,3.497362399684789125e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.258112351227377967e+00,2.139883318100723297e+00,2.544587833885337158e+00,1.188182118135370402e+01,4.684471151986060455e+00,7.197350029367643565e+00,9.058054898162283541e-02,2.999999999999999737e-04,2.864754826579591906e-01,-8.104303068299017684e-04,2.863939633491403569e+01,9.136072135670997296e-01,2.065539329509042954e+00,2.075411777584625028e+00,2.065539329509042954e+00,5.512915380670214915e+01,1.102583076134043038e+08,1.037705888792312408e+02,2.075411777584624887e+08,2.413344838790763092e+01,1.830331910738410386e+02,9.938940948643604223e-01,1.038544142946702742e+01,1.086616004830798232e+00,5.463489950282133245e-01,1.627168171601472979e+00,1.050000000000000044e+00,7.245797456669685888e-01,1.142173155708765542e+00,4.176380688195413882e+01,1.250216975404100594e+00,1.260000000000000009e-01,9.938940941325388190e-01,1.012679099503849711e+00,1.000000000000000000e+00,1.061490157599650930e+00,9.714414956380235111e-01,9.846600667382185978e-01
2.400000000000000000e+02,1.666666666666666574e-01,2.119313524239462822e+03,1.489879688895342902e+01,2.817008019846873879e+01,4.747988606173421722e+05,1.232007189058718488e+01,6.500773880123276172e+00,2.102729297562009947e+01,1.836649064701858958e+00,2.213343763078000848e+01,7.315288708478139057e+00,1.014699292720774748e+00,4.158946187494249602e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315555978056942976e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.663578474997699841e+00,8.624943988126585737e+01,1.021838151365224157e+00,1.422472928542846091e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.875299738011586115e-01,4.569915092089353870e-01,6.057450465472467016e-01,1.005698776208343581e+00,8.815910718980553007e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352778006304352465e-02,8.352778006304352232e+01,5.669497824075694581e+01,9.668900626534735476e-01,1.017716184863477480e+00,9.698315372985386595e-01,8.134005119293707953e-01,1.006919083426712991e+00,4.157642847615363735e-01,1.015579536999738242e+00,1.069497824110672468e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669497824110672468e+01,3.497788725326245185e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257572765565805106e+00,2.140721834899228959e+00,2.543658053481796522e+00,1.188160059209602792e+01,4.684379888381025481e+00,7.197220703715002443e+00,9.057916944027274986e-02,2.999999999999999737e-04,2.860852879159914153e-01,-8.203268770332755588e-04,2.863958153510988325e+01,9.139830184178707739e-01,2.065566346010970999e+00,2.075436339696260291e+00,2.065566346010970999e+00,5.512964836373887323e+01,1.102592967274777442e+08,1.037718169848130145e+02,2.075436339696260393e+08,2.413382314585912525e+01,1.830352884944110201e+02,9.938741900072073365e-01,1.038566344223398907e+01,1.086616004830798232e+00,5.463427343577711426e-01,1.627170367851580535e+00,1.050000000000000044e+00,7.245815200922269828e-01,1.142165665807450381e+00,4.176389003152176116e+01,1.247292854284609120e+00,1.260000000000000009e-01,9.938741892754003882e-01,1.012700747855578731e+00,1.000000000000000000e+00,1.061498383363804310e+00,9.716464746016590937e-01,9.846600667382185978e-01
2.700000000000000000e+02,1.875000000000000000e-01,2.114513754638129285e+03,1.486513616664162107e+01,2.817011917918512509e+01,4.747944742689900449e+05,1.232008938720889013e+01,6.500783436276634575e+00,2.102871696743445895e+01,1.836651883538158891e+00,2.213357278756010160e+01,7.315333378939355313e+00,1.015281832214595781e+00,4.155360162703699567e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.315570117888962898e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.662144065081479827e+00,8.629895573824063604e+01,1.021838151365224157e+00,1.422465109591960868e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.875766638954049048e-01,4.570702011316566948e-01,6.057451498486408070e-01,1.005698918679902354e+00,8.815910973512149917e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352782348828244330e-02,8.352782348828243641e+01,5.669498380096677437e+01,9.669233592011768907e-01,1.017716184863477480e+00,9.698491585637072365e-01,8.131265294247611575e-01,1.006950273940982132e+00,4.155036530653622440e-01,1.015639106816367265e+00,1.069498380131657456e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669498380131657456e+01,3.498001888146973215e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.257352522137155315e+00,2.141079240887537871e+00,2.543276106685889104e+00,1.188154145922376514e+01,4.684355347573426975e+00,7.197186111650338169e+00,9.057879325444523344e-02,2.999999999999999737e-04,2.859235845487337890e-01,-8.231011040890270219e-04,2.863962116550487735e+01,9.141404022633133897e-01,2.065574171705429229e+00,2.075443454443427704e+00,2.065574171705429229e+00,5.512979526648519624e+01,1.102595905329703987e+08,1.037721727221713763e+02,2.075443454443427622e+08,2.413393001331419896e+01,1.830358980019707928e+02,9.938684244485115338e-01,1.038572314017547171e+01,1.086616004830798232e+00,5.463409150423774729e-01,1.627170281582410283e+00,1.050000000000000044e+00,7.245819834430480277e-01,1.142163651673623104e+00,4.176391174414121821e+01,1.246510959196086787e+00,1.260000000000000009e-01,9.938684237167089153e-01,1.012706568971419863e+00,1.000000000000000000e+00,1.061500766047274391e+00,9.717012863601350858e-01,9.846600667382185978e-01
